   1.0     2.0
   2.0     4.25
-777.0  -777.0
   1.0     4.0
   2.0     4.0
-777.0  -777.0
   1.0     2.0
   2.0     4.2
   3.0     6.4
-777.0  -777.0
   1.0     2.0
   2.0     4.2
   3.0     6.5
   4.0     8.8
-777.0  -777.0
   2.0     2.0
   8.0     2.0
   8.0     8.0
   2.0     8.0
-777.0  -777.0
  -5.0    39.0
   5.0    13.0
  15.0   -13.0
-777.0  -777.0                                            `
  -4.0     1.0
   8.0     1.0
   0.0    15.0
-777.0  -777.0
  -2.0    10.0
   1.0     4.0
   4.0    -2.0
-777.0  -777.0
   6.0     0.0
   6.0    10.0
  -1.0     5.0
-777.0  -777.0
-999.0  -999.0
